CBSA,Days with AQI,Good Days,City,score
"Aberdeen, WA",121,121,Aberdeen,10
"Racine, WI",7,7,Racine,10
"Bremerton-Silverdale, WA",108,106,Bremerton-Silverdale,10
"Owensboro, KY",31,31,Owensboro,10
"Palatka, FL",88,87,Palatka,10
"Hilo, HI",121,119,Hilo,10
"Pierre, SD",91,90,Pierre,10
"Show Low, AZ",182,182,Show Low,10
"Ca?on City, CO",152,152,Ca?on City,10
"Hailey, ID",91,91,Hailey,10
"Bellingham, WA",115,114,Bellingham,10
"Taos, NM",90,90,Taos,10
"Twin Falls, ID",87,86,Twin Falls,10
"Tupelo, MS",31,31,Tupelo,10
"Red Wing, MN",30,30,Red Wing,10
"Fond du Lac, WI",7,7,Fond du Lac,10
"Rock Springs, WY",176,173,Rock Springs,10
"Fernley, NV",89,88,Fernley,10
"Sheboygan, WI",7,7,Sheboygan,10
"Salem, OH",33,33,Salem,10
"Evanston, WY",91,91,Evanston,10
"Elko, NV",91,91,Elko,10
"Sebastian-Vero Beach, FL",147,146,Sebastian-Vero Beach,10
"Dodge City, KS",91,90,Dodge City,10
"Ithaca, NY",151,149,Ithaca,10
"Othello, WA",121,121,Othello,10
"Janesville-Beloit, WI",7,7,Janesville-Beloit,10
"Watertown-Fort Atkinson, WI",7,7,Watertown-Fort Atkinson,10
"Steamboat Springs, CO",151,150,Steamboat Springs,10
"Ludington, MI",31,31,Ludington,10
"Manchester-Nashua, NH",92,92,Manchester-Nashua,10
"Manitowoc, WI",7,7,Manitowoc,10
"Mayaguez, PR",176,176,Mayaguez,10
"Meridian, MS",31,31,Meridian,10
"Claremont-Lebanon, NH-VT",150,148,Claremont-Lebanon,10
"Lake Havasu City-Kingman, AZ",176,175,Lake Havasu City-Kingman,10
"Centralia, WA",115,114,Centralia,10
"Traverse City, MI",31,31,Traverse City,10
"Clearlake, CA",31,31,Clearlake,10
"La Crosse-Onalaska, WI-MN",7,7,La Crosse-Onalaska,10
"Whitewater-Elkhorn, WI",7,7,Whitewater-Elkhorn,10
"Coeur d'Alene, ID",87,87,Coeur d'Alene,10
"Sonora, CA",31,31,Sonora,10
"Mount Vernon-Anacortes, WA",121,121,Mount Vernon-Anacortes,10
"Muskegon, MI",31,31,Muskegon,10
"Niles-Benton Harbor, MI",31,31,Niles-Benton Harbor,10
"Kahului-Wailuku-Lahaina, HI",91,90,Kahului-Wailuku-Lahaina,10
"Concord, NH",31,31,Concord,10
"Santa Rosa, CA",91,90,Santa Rosa,10
"Shelton, WA",121,116,Shelton,9
"St. Marys, PA",145,138,St. Marys,9
"Sheridan, WY",121,118,Sheridan,9
"Deming, NM",91,87,Deming,9
"Crestview-Fort Walton Beach-Destin, FL",91,87,Crestview-Fort Walton Beach-Destin,9
"Guayama, PR",27,26,Guayama,9
"Santa Fe, NM",89,87,Santa Fe,9
"Jefferson City, MO",39,38,Jefferson City,9
"Lubbock, TX",121,117,Lubbock,9
"Minot, ND",182,173,Minot,9
"Morehead City, NC",151,147,Morehead City,9
"Moscow, ID",91,88,Moscow,9
"Laconia, NH",91,89,Laconia,9
"La Grande, OR",91,88,La Grande,9
"Moses Lake, WA",121,115,Moses Lake,9
"Kinston, NC",121,115,Kinston,9
"Olympia-Tumwater, WA",119,116,Olympia-Tumwater,9
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",152,146,San Luis Obispo-Paso Robles-Arroyo Grande,9
"Pahrump, NV",91,87,Pahrump,9
"Havre, MT",87,85,Havre,9
"Pocatello, ID",91,87,Pocatello,9
"Harrison, AR",182,176,Harrison,9
"Pullman, WA",121,117,Pullman,9
"Red Bluff, CA",91,89,Red Bluff,9
"Fallon, NV",91,89,Fallon,9
"Salinas, CA",122,117,Salinas,9
"Summerville, GA",89,87,Summerville,9
"Longview, WA",121,116,Longview,9
"Brookings, SD",91,88,Brookings,9
"Barnstable Town, MA",173,168,Barnstable Town,9
"Watertown-Fort Drum, NY",181,173,Watertown-Fort Drum,9
"Torrington, CT",92,89,Torrington,9
"Urban Honolulu, HI",92,89,Urban Honolulu,9
"Casper, WY",91,89,Casper,9
"Bennington, VT",91,88,Bennington,9
"Victoria, TX",89,87,Victoria,9
"Arkadelphia, AR",150,142,Arkadelphia,8
"Roanoke Rapids, NC",174,164,Roanoke Rapids,8
"Wenatchee, WA",121,112,Wenatchee,8
"Rockland, ME",203,192,Rockland,8
"Rocky Mount, NC",111,100,Rocky Mount,8
"Fargo, ND-MN",182,166,Fargo,8
"Santa Cruz-Watsonville, CA",121,111,Santa Cruz-Watsonville,8
"Indiana, PA",148,137,Indiana,8
"Redding, CA",156,148,Redding,8
"Utica-Rome, NY",150,135,Utica-Rome,8
"Eureka-Arcata-Fortuna, CA",205,187,Eureka-Arcata-Fortuna,8
"Espa?ola, NM",90,84,Espa?ola,8
"Americus, GA",92,83,Americus,8
"Morristown, TN",31,29,Morristown,8
"Sandpoint, ID",91,86,Sandpoint,8
"Athens, OH",182,168,Athens,8
"Glenwood Springs, CO",181,170,Glenwood Springs,8
"Billings, MT",91,83,Billings,8
"Berlin, NH-VT",92,87,Berlin,8
"Bangor, ME",204,193,Bangor,8
"Wabash, IN",152,141,Wabash,8
"Walla Walla, WA",152,140,Walla Walla,8
"Hobbs, NM",89,84,Hobbs,8
"Vineyard Haven, MA",181,171,Vineyard Haven,8
"Vincennes, IN",146,136,Vincennes,8
"Jamestown-Dunkirk-Fredonia, NY",180,162,Jamestown-Dunkirk-Fredonia,8
"Ponce, PR",173,164,Ponce,8
"Port St. Lucie, FL",91,84,Port St. Lucie,8
"Bemidji, MN",90,82,Bemidji,8
"Norwich-New London, CT",91,83,Norwich-New London,8
"Bend-Redmond, OR",91,84,Bend-Redmond,8
"Syracuse, NY",182,168,Syracuse,8
"Bozeman, MT",153,141,Bozeman,8
"Gardnerville Ranchos, NV",91,82,Gardnerville Ranchos,8
"Effingham, IL",122,110,Effingham,8
"Vallejo-Fairfield, CA",106,98,Vallejo-Fairfield,8
"Altoona, PA",152,138,Altoona,8
"Scranton--Wilkes-Barre--Hazleton, PA",153,142,Scranton--Wilkes-Barre--Hazleton,8
"Cheyenne, WY",92,86,Cheyenne,8
"Lewiston-Auburn, ME",213,198,Lewiston-Auburn,8
"Carson City, NV",91,84,Carson City,8
"Truckee-Grass Valley, CA",91,86,Truckee-Grass Valley,8
"Columbia, MO",36,33,Columbia,8
"Somerset, PA",150,142,Somerset,8
"Corning, NY",183,166,Corning,8
"Burlington-South Burlington, VT",92,83,Burlington-South Burlington,8
"Worcester, MA-CT",183,167,Worcester,8
"Tyler, TX",120,113,Tyler,8
"Alexandria, LA",31,29,Alexandria,8
"Idaho Falls, ID",152,138,Idaho Falls,8
"Dickinson, ND",182,169,Dickinson,8
"Monroe, LA",182,169,Monroe,8
"Scottsbluff, NE",197,181,Scottsbluff,8
"Santa Maria-Santa Barbara, CA",92,84,Santa Maria-Santa Barbara,8
"Quincy, IL-MO",116,103,Quincy,7
