Rank,City,Summary
1,Topeka,"Cost of Living Value: 85.6, Crime Cost Value: 2910.0, Air Quality Value: nan"
2,Wichita Falls,"Cost of Living Value: 85.7, Crime Cost Value: 2653.0, Air Quality Value: nan"
3,Shreveport,"Cost of Living Value: 85.8, Crime Cost Value: 4589.0, Air Quality Value: nan"
4,Rockford,"Cost of Living Value: 87.2, Crime Cost Value: 3628.0, Air Quality Value: nan"
5,Springfield,"Cost of Living Value: 87.5, Crime Cost Value: 2191.0, Air Quality Value: nan"
6,Toledo,"Cost of Living Value: 87.5, Crime Cost Value: 4652.0, Air Quality Value: nan"
7,Oklahoma City,"Cost of Living Value: 87.3, Crime Cost Value: 2328.0, Air Quality Value: nan"
8,South Bend,"Cost of Living Value: 87.2, Crime Cost Value: 4427.0, Air Quality Value: nan"
9,Davenport,"Cost of Living Value: 87.2, Crime Cost Value: 1819.0, Air Quality Value: nan"
10,Evansville,"Cost of Living Value: 87.2, Crime Cost Value: 3969.0, Air Quality Value: nan"
11,Fort Wayne,"Cost of Living Value: 86.8, Crime Cost Value: 1447.0, Air Quality Value: nan"
12,Wichita,"Cost of Living Value: 86.8, Crime Cost Value: 2586.0, Air Quality Value: nan"
13,Tulsa,"Cost of Living Value: 86.7, Crime Cost Value: 3405.0, Air Quality Value: nan"
14,Peoria,"Cost of Living Value: 86.7, Crime Cost Value: 4649.0, Air Quality Value: nan"
15,Springfield,"Cost of Living Value: 86.7, Crime Cost Value: 3647.0, Air Quality Value: nan"
16,Columbus,"Cost of Living Value: 88.5, Crime Cost Value: 2168.0, Air Quality Value: nan"
17,Las Cruces,"Cost of Living Value: 88.8, Crime Cost Value: 2406.0, Air Quality Value: nan"
18,Lubbock,"Cost of Living Value: 88.8, Crime Cost Value: 3057.0, Air Quality Value: nan"
19,Lansing,"Cost of Living Value: 88.7, Crime Cost Value: 3719.0, Air Quality Value: nan"
20,Clarksville,"Cost of Living Value: 88.7, Crime Cost Value: 1679.0, Air Quality Value: nan"
21,Beaumont,"Cost of Living Value: 88.6, Crime Cost Value: 3751.0, Air Quality Value: nan"
22,El Paso,"Cost of Living Value: 88.6, Crime Cost Value: 983.0, Air Quality Value: nan"
23,Killeen,"Cost of Living Value: 88.6, Crime Cost Value: 2391.0, Air Quality Value: nan"
24,Little Rock,"Cost of Living Value: 88.0, Crime Cost Value: 7781.0, Air Quality Value: nan"
25,Dayton,"Cost of Living Value: 88.4, Crime Cost Value: 5146.0, Air Quality Value: nan"
26,Mobile,"Cost of Living Value: 88.3, Crime Cost Value: 3647.0, Air Quality Value: nan"
27,Amarillo,"Cost of Living Value: 88.2, Crime Cost Value: 2811.0, Air Quality Value: nan"
28,Memphis,"Cost of Living Value: 88.2, Crime Cost Value: 9056.0, Air Quality Value: nan"
29,Cedar Rapids,"Cost of Living Value: 88.1, Crime Cost Value: 1534.0, Air Quality Value: nan"
30,Brownsville,"Cost of Living Value: 87.8, Crime Cost Value: 1000.0, Air Quality Value: nan"
31,Jackson,"Cost of Living Value: 87.8, Crime Cost Value: 2670.0, Air Quality Value: nan"
32,St. Louis,"Cost of Living Value: 89.6, Crime Cost Value: 11055.0, Air Quality Value: nan"
33,Indianapolis,"Cost of Living Value: 90.2, Crime Cost Value: 4515.0, Air Quality Value: nan"
34,Laredo,"Cost of Living Value: 90.1, Crime Cost Value: 1105.0, Air Quality Value: nan"
35,Cleveland,"Cost of Living Value: 90.0, Crime Cost Value: 7397.0, Air Quality Value: nan"
36,Columbia,"Cost of Living Value: 89.8, Crime Cost Value: 1981.0, Air Quality Value: nan"
37,Lafayette,"Cost of Living Value: 89.6, Crime Cost Value: 3106.0, Air Quality Value: nan"
38,Fayetteville,"Cost of Living Value: 89.5, Crime Cost Value: 3635.0, Air Quality Value: nan"
39,Akron,"Cost of Living Value: 89.4, Crime Cost Value: 3985.0, Air Quality Value: nan"
